year,state,crop,season,c2,msp
2011,Uttar Pradesh,Moong,Kharif,3686.32,3400.0
2012,Uttar Pradesh,Moong,Kharif,4141.74,4400.0
2013,Uttar Pradesh,Moong,Kharif,4578.43,4500.0
2014,Uttar Pradesh,Moong,Kharif,4991.68,4600.0
2015,Uttar Pradesh,Moong,Kharif,4400.0,4850.0
2016,Uttar Pradesh,Moong,Kharif,5459.78,5225.0
2017,Uttar Pradesh,Moong,Kharif,5928.02,5575.0
2018,Uttar Pradesh,Moong,Kharif,6400.17,6975.0
2019,Uttar Pradesh,Moong,Kharif,7258.0,7050.0
2020,Uttar Pradesh,Moong,Kharif,6896.5,7196.0
2021,Uttar Pradesh,Moong,Kharif,5981.0,7196.0
2022,Uttar Pradesh,Moong,Kharif,8459.0,7755.0
2007,Gujarat,Paddy,Kharif,618.3333333333334,645.0
2008,Gujarat,Paddy,Kharif,607.2922222222222,942.05
2009,Gujarat,Paddy,Kharif,596.2511111111112,1239.1
2010,Gujarat,Paddy,Kharif,585.21,1000.0
2011,Gujarat,Paddy,Kharif,629.37,1080.0
2012,Gujarat,Paddy,Kharif,739.02,1250.0
2013,Gujarat,Paddy,Kharif,845.54,1310.0
2014,Gujarat,Paddy,Kharif,962.36,1360.0
2015,Gujarat,Paddy,Kharif,1375.0,1410.0
2016,Gujarat,Paddy,Kharif,1282.72,1470.0
2017,Gujarat,Paddy,Kharif,1400.91,1550.0
2018,Gujarat,Paddy,Kharif,1530.73,1750.0
2019,Gujarat,Paddy,Kharif,1367.0,1815.0
2020,Gujarat,Paddy,Kharif,1391.0,1868.0
2021,Gujarat,Paddy,Kharif,1463.0,1868.0
2022,Gujarat,Paddy,Kharif,1559.0,2040.0
2007,Haryana,Paddy,Kharif,756.0,645.0
2008,Haryana,Paddy,Kharif,757.88,1134.755
2009,Haryana,Paddy,Kharif,759.76,1624.51
2010,Haryana,Paddy,Kharif,761.64,1000.0
2011,Haryana,Paddy,Kharif,1022.57,1080.0
2012,Haryana,Paddy,Kharif,1146.5,1250.0
2013,Haryana,Paddy,Kharif,1290.73,1310.0
2014,Haryana,Paddy,Kharif,1408.83,1360.0
2015,Haryana,Paddy,Kharif,1500.0,1410.0
2016,Haryana,Paddy,Kharif,1656.7,1470.0
2017,Haryana,Paddy,Kharif,1797.1,1550.0
2018,Haryana,Paddy,Kharif,1934.31,1750.0
2019,Haryana,Paddy,Kharif,1753.0,1815.0
2020,Haryana,Paddy,Kharif,1777.0,1868.0
2021,Haryana,Paddy,Kharif,1867.0,1868.0
2022,Haryana,Paddy,Kharif,1947.0,2040.0
2007,Maharashtra,Paddy,Kharif,618.3333333333334,645.0
2008,Maharashtra,Paddy,Kharif,768.1622222222222,923.505
2009,Maharashtra,Paddy,Kharif,917.9911111111111,1202.01
2010,Maharashtra,Paddy,Kharif,1067.82,1000.0
2011,Maharashtra,Paddy,Kharif,1482.13,1080.0
2012,Maharashtra,Paddy,Kharif,1629.98,1250.0
2013,Maharashtra,Paddy,Kharif,1813.11,1310.0
2014,Maharashtra,Paddy,Kharif,2002.94,1360.0
2015,Maharashtra,Paddy,Kharif,2000.0,1410.0
2016,Maharashtra,Paddy,Kharif,2275.58,1470.0
2017,Maharashtra,Paddy,Kharif,2471.49,1550.0
2018,Maharashtra,Paddy,Kharif,2697.58,1750.0
2019,Maharashtra,Paddy,Kharif,2652.0,1815.0
2020,Maharashtra,Paddy,Kharif,2760.0,1868.0
2021,Maharashtra,Paddy,Kharif,1584.25,1868.0
2022,Maharashtra,Paddy,Kharif,3169.0,2040.0
2007,Punjab,Paddy,Kharif,520.0,645.0
2008,Punjab,Paddy,Kharif,535.2,868.26
2009,Punjab,Paddy,Kharif,550.4,1091.52
2010,Punjab,Paddy,Kharif,565.6,1000.0
2011,Punjab,Paddy,Kharif,734.72,1080.0
2012,Punjab,Paddy,Kharif,807.6,1250.0
2013,Punjab,Paddy,Kharif,920.08,1310.0
2014,Punjab,Paddy,Kharif,1000.54,1360.0
2015,Punjab,Paddy,Kharif,1150.0,1410.0
2016,Punjab,Paddy,Kharif,1184.69,1470.0
2017,Punjab,Paddy,Kharif,1313.31,1550.0
2018,Punjab,Paddy,Kharif,1450.48,1750.0
2019,Punjab,Paddy,Kharif,1204.0,1815.0
2020,Punjab,Paddy,Kharif,1223.0,1868.0
2021,Punjab,Paddy,Kharif,1272.0,1868.0
2022,Punjab,Paddy,Kharif,1335.0,2040.0
2007,Uttar Pradesh,Paddy,Kharif,579.0,645.0
2008,Uttar Pradesh,Paddy,Kharif,644.6166666666667,814.495
2009,Uttar Pradesh,Paddy,Kharif,710.2333333333333,983.99
2010,Uttar Pradesh,Paddy,Kharif,775.85,1000.0
2011,Uttar Pradesh,Paddy,Kharif,898.88,1080.0
2012,Uttar Pradesh,Paddy,Kharif,988.75,1250.0
2013,Uttar Pradesh,Paddy,Kharif,1089.41,1310.0
2014,Uttar Pradesh,Paddy,Kharif,1209.61,1360.0
2015,Uttar Pradesh,Paddy,Kharif,1300.0,1410.0
2016,Uttar Pradesh,Paddy,Kharif,1367.65,1470.0
2017,Uttar Pradesh,Paddy,Kharif,1494.61,1550.0
2018,Uttar Pradesh,Paddy,Kharif,1631.25,1750.0
2019,Uttar Pradesh,Paddy,Kharif,1648.0,1815.0
2020,Uttar Pradesh,Paddy,Kharif,1691.0,1868.0
2021,Uttar Pradesh,Paddy,Kharif,1735.0,1868.0
2022,Uttar Pradesh,Paddy,Kharif,1765.0,2040.0
2007,Gujarat,Ragi,Kharif,2267.66,1144.38
2008,Gujarat,Ragi,Kharif,2267.66,1144.38
2009,Gujarat,Ragi,Kharif,2267.66,1144.38
2010,Gujarat,Ragi,Kharif,2267.66,965.0
2011,Gujarat,Ragi,Kharif,2391.19,1050.0
2012,Gujarat,Ragi,Kharif,2470.82,1400.0
2013,Gujarat,Ragi,Kharif,2697.51,1500.0
2014,Gujarat,Ragi,Kharif,2919.23,1550.0
2015,Gujarat,Ragi,Kharif,3300.0,1650.0
2016,Gujarat,Ragi,Kharif,3217.43,1725.0
2017,Gujarat,Ragi,Kharif,3505.07,1900.0
2018,Gujarat,Ragi,Kharif,3816.03,2897.0
2019,Gujarat,Ragi,Kharif,3858.5225,3067.25
2020,Gujarat,Ragi,Kharif,3901.0150000000003,3237.5
2021,Gujarat,Ragi,Kharif,3943.5075,3407.75
2022,Gujarat,Ragi,Kharif,3986.0,3578.0
2007,Maharashtra,Ragi,Kharif,3556.415,2766.7933333333335
2008,Maharashtra,Ragi,Kharif,3126.83,1955.5866666666668
2009,Maharashtra,Ragi,Kharif,2697.245,1144.38
2010,Maharashtra,Ragi,Kharif,2267.66,965.0
2011,Maharashtra,Ragi,Kharif,2391.19,1050.0
2012,Maharashtra,Ragi,Kharif,2470.82,1400.0
2013,Maharashtra,Ragi,Kharif,2697.51,1500.0
2014,Maharashtra,Ragi,Kharif,2919.23,1550.0
2015,Maharashtra,Ragi,Kharif,3300.0,1650.0
2016,Maharashtra,Ragi,Kharif,3217.43,1725.0
2017,Maharashtra,Ragi,Kharif,3505.07,1900.0
2018,Maharashtra,Ragi,Kharif,3816.03,2897.0
2019,Maharashtra,Ragi,Kharif,3858.5225,3067.25
2020,Maharashtra,Ragi,Kharif,3901.0150000000003,3237.5
2021,Maharashtra,Ragi,Kharif,3943.5075,3407.75
2022,Maharashtra,Ragi,Kharif,3986.0,3578.0
2007,Gujarat,Rapeseed & Mustard,Rabi,1038.51,1700.0
2008,Gujarat,Rapeseed & Mustard,Rabi,932.63,1715.0
2009,Gujarat,Rapeseed & Mustard,Rabi,1000.91,1715.0
2010,Gujarat,Rapeseed & Mustard,Rabi,1016.22,1800.0
2011,Gujarat,Rapeseed & Mustard,Rabi,1610.4,1830.0
2012,Gujarat,Rapeseed & Mustard,Rabi,1416.38,1830.0
2013,Gujarat,Rapeseed & Mustard,Rabi,1515.69,1850.0
2014,Gujarat,Rapeseed & Mustard,Rabi,2113.8,3050.0
2015,Gujarat,Rapeseed & Mustard,Rabi,2107.0,3100.0
2016,Gujarat,Rapeseed & Mustard,Rabi,2289.0,3350.0
2017,Gujarat,Rapeseed & Mustard,Rabi,2322.0,3600.0
2018,Gujarat,Rapeseed & Mustard,Rabi,2768.0,3900.0
2019,Gujarat,Rapeseed & Mustard,Rabi,2876.0,4200.0
2020,Gujarat,Rapeseed & Mustard,Rabi,3034.0,4425.0
2021,Gujarat,Rapeseed & Mustard,Rabi,3205.0,4650.0
2022,Gujarat,Rapeseed & Mustard,Rabi,3403.0,5050.0
2007,Haryana,Rapeseed & Mustard,Rabi,1326.11,1700.0
2008,Haryana,Rapeseed & Mustard,Rabi,1245.58,1715.0
2010,Haryana,Rapeseed & Mustard,Rabi,1396.05,1800.0
2011,Haryana,Rapeseed & Mustard,Rabi,1251.12,1830.0
2012,Haryana,Rapeseed & Mustard,Rabi,1555.52,1830.0
2013,Haryana,Rapeseed & Mustard,Rabi,1642.41,1850.0
2014,Haryana,Rapeseed & Mustard,Rabi,2023.04,3050.0
2015,Haryana,Rapeseed & Mustard,Rabi,2339.0,3100.0
2016,Haryana,Rapeseed & Mustard,Rabi,2400.0,3350.0
2017,Haryana,Rapeseed & Mustard,Rabi,2916.0,3600.0
2018,Haryana,Rapeseed & Mustard,Rabi,2996.0,3900.0
2019,Haryana,Rapeseed & Mustard,Rabi,3217.0,4200.0
2020,Haryana,Rapeseed & Mustard,Rabi,3333.0,4425.0
2021,Haryana,Rapeseed & Mustard,Rabi,3420.0,4650.0
2022,Haryana,Rapeseed & Mustard,Rabi,3498.0,5050.0
2007,Maharashtra,Rapeseed & Mustard,Rabi,1218.3425,1700.0
2008,Maharashtra,Rapeseed & Mustard,Rabi,1125.8700000000001,1715.0
2009,Maharashtra,Rapeseed & Mustard,Rabi,1207.1566666666668,1715.0
2010,Maharashtra,Rapeseed & Mustard,Rabi,1291.16,1800.0
2011,Maharashtra,Rapeseed & Mustard,Rabi,1430.76,1830.0
2012,Maharashtra,Rapeseed & Mustard,Rabi,1484.676666666667,1830.0
2016,Maharashtra,Rapeseed & Mustard,Rabi,2543.0,3350.0
2017,Maharashtra,Rapeseed & Mustard,Rabi,2765.6666666666665,3600.0
2018,Maharashtra,Rapeseed & Mustard,Rabi,3087.3333333333335,3900.0
2019,Maharashtra,Rapeseed & Mustard,Rabi,3238.0,4200.0
2007,Punjab,Rapeseed & Mustard,Rabi,1270.95,1700.0
2008,Punjab,Rapeseed & Mustard,Rabi,1125.8700000000001,1715.0
2009,Punjab,Rapeseed & Mustard,Rabi,1207.1566666666668,1715.0
2010,Punjab,Rapeseed & Mustard,Rabi,1291.16,1800.0
2011,Punjab,Rapeseed & Mustard,Rabi,1430.76,1830.0
2012,Punjab,Rapeseed & Mustard,Rabi,1484.676666666667,1830.0
2013,Punjab,Rapeseed & Mustard,Rabi,1581.8033333333333,1850.0
2014,Punjab,Rapeseed & Mustard,Rabi,2229.22,3050.0
2015,Punjab,Rapeseed & Mustard,Rabi,2401.6666666666665,3100.0
2016,Punjab,Rapeseed & Mustard,Rabi,2543.0,3350.0
2017,Punjab,Rapeseed & Mustard,Rabi,2765.6666666666665,3600.0
2018,Punjab,Rapeseed & Mustard,Rabi,3087.3333333333335,3900.0
2019,Punjab,Rapeseed & Mustard,Rabi,3238.0,4200.0
2020,Punjab,Rapeseed & Mustard,Rabi,3340.3333333333335,4425.0
2021,Punjab,Rapeseed & Mustard,Rabi,3620.0,4650.0
2022,Punjab,Rapeseed & Mustard,Rabi,3764.0,5050.0
2007,Uttar Pradesh,Rapeseed & Mustard,Rabi,1237.8,1700.0
2008,Uttar Pradesh,Rapeseed & Mustard,Rabi,1199.4,1715.0
2009,Uttar Pradesh,Rapeseed & Mustard,Rabi,1196.67,1715.0
2010,Uttar Pradesh,Rapeseed & Mustard,Rabi,1461.21,1800.0
2011,Uttar Pradesh,Rapeseed & Mustard,Rabi,1430.76,1830.0
2012,Uttar Pradesh,Rapeseed & Mustard,Rabi,1482.13,1830.0
2013,Uttar Pradesh,Rapeseed & Mustard,Rabi,1587.31,1850.0
2014,Uttar Pradesh,Rapeseed & Mustard,Rabi,2550.82,3050.0
2015,Uttar Pradesh,Rapeseed & Mustard,Rabi,2759.0,3100.0
2016,Uttar Pradesh,Rapeseed & Mustard,Rabi,2940.0,3350.0
2017,Uttar Pradesh,Rapeseed & Mustard,Rabi,3059.0,3600.0
2018,Uttar Pradesh,Rapeseed & Mustard,Rabi,3498.0,3900.0
2019,Uttar Pradesh,Rapeseed & Mustard,Rabi,3621.0,4200.0
2020,Uttar Pradesh,Rapeseed & Mustard,Rabi,3654.0,4425.0
2021,Uttar Pradesh,Rapeseed & Mustard,Rabi,3681.0,4650.0
2022,Uttar Pradesh,Rapeseed & Mustard,Rabi,3753.0,5050.0
2007,Maharashtra,Safflower,Rabi,1030.69,1550.0
2008,Maharashtra,Safflower,Rabi,1605.91,1565.0
2009,Maharashtra,Safflower,Rabi,1298.23,1565.0
2010,Maharashtra,Safflower,Rabi,2169.62,1650.0
2011,Maharashtra,Safflower,Rabi,1865.36,1650.0
2012,Maharashtra,Safflower,Rabi,2943.4,1680.0
2013,Maharashtra,Safflower,Rabi,3089.47,1800.0
2014,Maharashtra,Safflower,Rabi,3501.21,3000.0
2015,Maharashtra,Safflower,Rabi,3685.0,3050.0
2016,Maharashtra,Safflower,Rabi,3734.0,3300.0
2017,Maharashtra,Safflower,Rabi,5326.0,3600.0
2018,Maharashtra,Safflower,Rabi,5062.0,4000.0
2019,Maharashtra,Safflower,Rabi,5184.0,4945.0
2020,Maharashtra,Safflower,Rabi,5376.0,5215.0
2021,Maharashtra,Safflower,Rabi,5523.0,5327.0
2022,Maharashtra,Safflower,Rabi,5871.0,5441.0
2007,Gujarat,Sesame,Kharif,2024.0,1580.0
2008,Gujarat,Sesame,Kharif,2456.9933333333333,3918.265
2009,Gujarat,Sesame,Kharif,2889.9866666666667,6256.53
2010,Gujarat,Sesame,Kharif,3322.98,2900.0
2011,Gujarat,Sesame,Kharif,4581.83,3400.0
2012,Gujarat,Sesame,Kharif,4966.57,4200.0
2013,Gujarat,Sesame,Kharif,5364.71,4500.0
2014,Gujarat,Sesame,Kharif,5792.89,4600.0
2015,Gujarat,Sesame,Kharif,4800.0,4700.0
2016,Gujarat,Sesame,Kharif,6229.83,4800.0
2017,Gujarat,Sesame,Kharif,6745.33,5300.0
2018,Gujarat,Sesame,Kharif,7289.47,6249.0
2019,Gujarat,Sesame,Kharif,7788.0,6485.0
2020,Gujarat,Sesame,Kharif,7345.0,6855.0
2021,Gujarat,Sesame,Kharif,7698.0,6855.0
2022,Gujarat,Sesame,Kharif,4975.5,4217.5
2007,Haryana,Sesame,Kharif,2253.0,1580.0
2008,Haryana,Sesame,Kharif,2609.66,3918.265
2009,Haryana,Sesame,Kharif,2966.32,6256.53
2010,Haryana,Sesame,Kharif,3322.98,2900.0
2011,Haryana,Sesame,Kharif,4581.83,3400.0
2012,Haryana,Sesame,Kharif,4966.57,4200.0
2013,Haryana,Sesame,Kharif,5364.71,4500.0
2014,Haryana,Sesame,Kharif,5792.89,4600.0
2015,Haryana,Sesame,Kharif,4800.0,4700.0
2016,Haryana,Sesame,Kharif,6229.83,4800.0
2017,Haryana,Sesame,Kharif,6745.33,5300.0
2018,Haryana,Sesame,Kharif,7289.47,6249.0
2019,Haryana,Sesame,Kharif,7721.0,6485.0
2021,Haryana,Sesame,Kharif,7786.0,6855.0
2007,Maharashtra,Sesame,Kharif,2253.0,1580.0
2007,Maharashtra,Sesame,Rabi,2431.33,2749.1324999999997
2008,Maharashtra,Sesame,Kharif,2609.66,3918.265
2008,Maharashtra,Sesame,Rabi,2787.99,5087.3975
2009,Maharashtra,Sesame,Kharif,2966.32,6256.53
2009,Maharashtra,Sesame,Rabi,3144.65,4578.264999999999
2010,Maharashtra,Sesame,Kharif,3322.98,2900.0
2010,Maharashtra,Sesame,Rabi,3952.4049999999997,3150.0
2011,Maharashtra,Sesame,Kharif,4581.83,3400.0
2011,Maharashtra,Sesame,Rabi,4774.2,3800.0
2012,Maharashtra,Sesame,Kharif,4966.57,4200.0
2012,Maharashtra,Sesame,Rabi,5165.639999999999,4350.0
2013,Maharashtra,Sesame,Kharif,5364.71,4500.0
2013,Maharashtra,Sesame,Rabi,5578.8,4550.0
2014,Maharashtra,Sesame,Kharif,5792.89,4600.0
2014,Maharashtra,Sesame,Rabi,5296.445,4650.0
2015,Maharashtra,Sesame,Kharif,4800.0,4700.0
2015,Maharashtra,Sesame,Rabi,5514.915,4750.0
2016,Maharashtra,Sesame,Kharif,6229.83,4800.0
2016,Maharashtra,Sesame,Rabi,6487.58,5050.0
2017,Maharashtra,Sesame,Kharif,6745.33,5300.0
2017,Maharashtra,Sesame,Rabi,7017.4,5774.5
2018,Maharashtra,Sesame,Kharif,7289.47,6249.0
2018,Maharashtra,Sesame,Rabi,7505.235000000001,6367.0
2019,Maharashtra,Sesame,Kharif,7721.0,6485.0
2019,Maharashtra,Sesame,Rabi,7601.25,6670.0
2020,Maharashtra,Sesame,Kharif,7481.5,6855.0
2020,Maharashtra,Sesame,Rabi,7633.75,6855.0
2021,Maharashtra,Sesame,Kharif,7786.0,6855.0
2021,Maharashtra,Sesame,Rabi,6402.75,5536.25
2022,Maharashtra,Sesame,Kharif,5019.5,4217.5
2022,Maharashtra,Sesame,Rabi,3636.25,2898.75
2007,Punjab,Sesame,Kharif,2253.0,1580.0
2008,Punjab,Sesame,Kharif,2609.66,3918.265
2009,Punjab,Sesame,Kharif,2966.32,6256.53
2010,Punjab,Sesame,Kharif,3322.98,2900.0
2011,Punjab,Sesame,Kharif,4581.83,3400.0
2012,Punjab,Sesame,Kharif,4966.57,4200.0
2013,Punjab,Sesame,Kharif,5364.71,4500.0
2014,Punjab,Sesame,Kharif,5792.89,4600.0
2015,Punjab,Sesame,Kharif,4800.0,4700.0
2016,Punjab,Sesame,Kharif,6229.83,4800.0
2017,Punjab,Sesame,Kharif,6745.33,5300.0
2018,Punjab,Sesame,Kharif,7289.47,6249.0
2019,Punjab,Sesame,Kharif,7721.0,6485.0
2020,Punjab,Sesame,Kharif,7481.5,6855.0
2021,Punjab,Sesame,Kharif,7786.0,6855.0
2022,Punjab,Sesame,Kharif,5134.0,4217.5
2007,Uttar Pradesh,Sesame,Kharif,2482.0,1580.0
2008,Uttar Pradesh,Sesame,Kharif,2762.326666666667,3918.265
2009,Uttar Pradesh,Sesame,Kharif,3042.653333333333,6256.53
2010,Uttar Pradesh,Sesame,Kharif,3322.98,2900.0
2011,Uttar Pradesh,Sesame,Kharif,4581.83,3400.0
2012,Uttar Pradesh,Sesame,Kharif,4966.57,4200.0
2013,Uttar Pradesh,Sesame,Kharif,5364.71,4500.0
2014,Uttar Pradesh,Sesame,Kharif,5792.89,4600.0
2015,Uttar Pradesh,Sesame,Kharif,4800.0,4700.0
2016,Uttar Pradesh,Sesame,Kharif,6229.83,4800.0
2017,Uttar Pradesh,Sesame,Kharif,6745.33,5300.0
2018,Uttar Pradesh,Sesame,Kharif,7289.47,6249.0
2019,Uttar Pradesh,Sesame,Kharif,7654.0,6485.0
2020,Uttar Pradesh,Sesame,Kharif,7618.0,6855.0
2021,Uttar Pradesh,Sesame,Kharif,7874.0,6855.0
2022,Uttar Pradesh,Sesame,Kharif,7874.0,6855.0
2010,Gujarat,Soybean,Kharif,1453.11,1400.0
2011,Gujarat,Soybean,Kharif,1829.98,1650.0
2012,Gujarat,Soybean,Kharif,2027.68,2200.0
2013,Gujarat,Soybean,Kharif,2217.15,2500.0
2014,Gujarat,Soybean,Kharif,2406.84,2560.0
2015,Gujarat,Soybean,Kharif,2400.0,2600.0
2016,Gujarat,Soybean,Kharif,2603.95,2675.0
2017,Gujarat,Soybean,Kharif,2821.57,3050.0
2018,Gujarat,Soybean,Kharif,3054.12,3399.0
2019,Gujarat,Soybean,Kharif,3816.0,3710.0
2020,Gujarat,Soybean,Kharif,3906.0,3880.0
2021,Gujarat,Soybean,Kharif,3972.0,4090.0
2022,Gujarat,Soybean,Kharif,4038.0,4300.0
2010,Haryana,Soybean,Kharif,1453.11,1400.0
2011,Haryana,Soybean,Kharif,1829.98,1650.0
2021,Haryana,Soybean,Kharif,1448.49,1280.0
2007,Maharashtra,Soybean,Kharif,1067.0,910.0
2008,Maharashtra,Soybean,Kharif,1195.7033333333334,1560.815
2009,Maharashtra,Soybean,Kharif,1324.4066666666665,2211.63
2010,Maharashtra,Soybean,Kharif,1453.11,1400.0
2011,Maharashtra,Soybean,Kharif,1829.98,1650.0
2012,Maharashtra,Soybean,Kharif,2027.68,2200.0
2013,Maharashtra,Soybean,Kharif,2217.15,2500.0
2014,Maharashtra,Soybean,Kharif,2406.84,2560.0
2015,Maharashtra,Soybean,Kharif,2400.0,2600.0
2016,Maharashtra,Soybean,Kharif,2603.95,2675.0
2017,Maharashtra,Soybean,Kharif,2821.57,3050.0
2018,Maharashtra,Soybean,Kharif,3054.12,3399.0
2019,Maharashtra,Soybean,Kharif,3816.0,3710.0
2020,Maharashtra,Soybean,Kharif,3906.0,3880.0
2021,Maharashtra,Soybean,Kharif,3972.0,4090.0
2022,Maharashtra,Soybean,Kharif,4038.0,4300.0
2007,Uttar Pradesh,Soybean,Kharif,1067.0,910.0
2008,Uttar Pradesh,Soybean,Kharif,1195.7033333333334,1560.815
2009,Uttar Pradesh,Soybean,Kharif,1324.4066666666665,2211.63
2010,Uttar Pradesh,Soybean,Kharif,1453.11,1400.0
2011,Uttar Pradesh,Soybean,Kharif,1829.98,1650.0
2012,Uttar Pradesh,Soybean,Kharif,2027.68,2200.0
2013,Uttar Pradesh,Soybean,Kharif,2217.15,2500.0
2014,Uttar Pradesh,Soybean,Kharif,2406.84,2560.0
2015,Uttar Pradesh,Soybean,Kharif,2400.0,2600.0
2016,Uttar Pradesh,Soybean,Kharif,2603.95,2675.0
2017,Uttar Pradesh,Soybean,Kharif,2821.57,3050.0
2018,Uttar Pradesh,Soybean,Kharif,3054.12,3399.0
2019,Uttar Pradesh,Soybean,Kharif,3816.0,3710.0
2020,Uttar Pradesh,Soybean,Kharif,3906.0,3880.0
2021,Uttar Pradesh,Soybean,Kharif,3972.0,4090.0
2022,Uttar Pradesh,Soybean,Kharif,4038.0,4300.0
2007,Haryana,Sunflower,Rabi,2169.39,2350.0
2008,Haryana,Sunflower,Rabi,2169.39,2350.0
2009,Haryana,Sunflower,Rabi,2169.39,2350.0
2010,Haryana,Sunflower,Kharif,2169.39,2350.0
2011,Haryana,Sunflower,Kharif,2652.34,2800.0
2012,Haryana,Sunflower,Kharif,2866.52,3700.0
2013,Haryana,Sunflower,Kharif,3122.95,4000.0
2014,Haryana,Sunflower,Kharif,3373.12,3750.0
2015,Haryana,Sunflower,Kharif,3600.0,3800.0
2016,Haryana,Sunflower,Kharif,3656.78,3950.0
2017,Haryana,Sunflower,Kharif,3962.69,4100.0
2018,Haryana,Sunflower,Kharif,4286.97,5388.0
2019,Haryana,Sunflower,Kharif,3670.9775,4418.5
2020,Haryana,Sunflower,Kharif,3054.985,3449.0
2021,Haryana,Sunflower,Kharif,2438.9925000000003,2479.5
2007,Maharashtra,Sunflower,Kharif,1823.0,1510.0
2007,Maharashtra,Sunflower,Rabi,1880.7316666666666,1641.9025
2008,Maharashtra,Sunflower,Kharif,1938.4633333333334,1773.8049999999998
2008,Maharashtra,Sunflower,Rabi,1996.195,1905.7075
2009,Maharashtra,Sunflower,Kharif,2053.9266666666667,2037.61
2009,Maharashtra,Sunflower,Rabi,2111.6583333333333,2193.805
2010,Maharashtra,Sunflower,Kharif,2169.39,2350.0
2010,Maharashtra,Sunflower,Rabi,2410.865,2575.0
2011,Maharashtra,Sunflower,Kharif,2652.34,2800.0
2011,Maharashtra,Sunflower,Rabi,2759.4300000000003,3250.0
2012,Maharashtra,Sunflower,Kharif,2866.52,3700.0
2012,Maharashtra,Sunflower,Rabi,2994.7349999999997,3850.0
2013,Maharashtra,Sunflower,Kharif,3122.95,4000.0
2013,Maharashtra,Sunflower,Rabi,3248.035,3875.0
2014,Maharashtra,Sunflower,Kharif,3373.12,3750.0
2014,Maharashtra,Sunflower,Rabi,3486.56,3775.0
2015,Maharashtra,Sunflower,Kharif,3600.0,3800.0
2015,Maharashtra,Sunflower,Rabi,3628.3900000000003,3875.0
2016,Maharashtra,Sunflower,Kharif,3656.78,3950.0
2016,Maharashtra,Sunflower,Rabi,3809.735,4025.0
2017,Maharashtra,Sunflower,Kharif,3962.69,4100.0
2017,Maharashtra,Sunflower,Rabi,4124.83,4744.0
2018,Maharashtra,Sunflower,Kharif,4286.97,5388.0
2019,Maharashtra,Sunflower,Kharif,4286.97,5388.0
2019,Maharashtra,Sunflower,Rabi,4286.97,5388.0
2020,Maharashtra,Sunflower,Kharif,4286.97,5388.0
2020,Maharashtra,Sunflower,Rabi,4286.97,5388.0
2021,Maharashtra,Sunflower,Kharif,4286.97,5388.0
2021,Maharashtra,Sunflower,Rabi,4286.97,5388.0
2022,Maharashtra,Sunflower,Kharif,4286.97,5388.0
2022,Maharashtra,Sunflower,Rabi,4286.97,5388.0
2012,Punjab,Sunflower,Rabi,4286.97,5388.0
2016,Punjab,Sunflower,Rabi,4286.97,5388.0
2017,Punjab,Sunflower,Rabi,4286.97,5388.0
2018,Punjab,Sunflower,Rabi,4286.97,5388.0
2019,Punjab,Sunflower,Rabi,4286.97,5388.0
2020,Punjab,Sunflower,Rabi,4286.97,5388.0
2021,Punjab,Sunflower,Rabi,4286.97,5388.0
2022,Punjab,Sunflower,Rabi,4286.97,5388.0
2007,Gujarat,Tur,Kharif,1620.0,1550.0
2008,Gujarat,Tur,Kharif,1606.21,3988.285
2009,Gujarat,Tur,Kharif,1592.42,6426.57
2010,Gujarat,Tur,Kharif,1578.63,2800.0
2011,Gujarat,Tur,Kharif,2144.14,3100.0
2012,Gujarat,Tur,Kharif,2488.75,3850.0
2013,Gujarat,Tur,Kharif,2690.66,4000.0
2014,Gujarat,Tur,Kharif,2933.27,4350.0
2015,Gujarat,Tur,Kharif,3000.0,4625.0
2016,Gujarat,Tur,Kharif,3247.98,5050.0
2017,Gujarat,Tur,Kharif,3546.67,5450.0
2018,Gujarat,Tur,Kharif,3855.97,5675.0
2019,Gujarat,Tur,Kharif,5071.0,5800.0
2020,Gujarat,Tur,Kharif,4971.0,6000.0
2021,Gujarat,Tur,Kharif,5095.0,6000.0
2022,Gujarat,Tur,Kharif,5361.0,6600.0
2007,Haryana,Tur,Kharif,1436.0,1550.0
2008,Haryana,Tur,Kharif,1593.068888888889,3988.285
2009,Haryana,Tur,Kharif,1750.1377777777777,6426.57
2010,Haryana,Tur,Kharif,1907.2066666666667,2800.0
2011,Haryana,Tur,Kharif,2478.563333333333,3100.0
2012,Haryana,Tur,Kharif,2785.9933333333333,3850.0
2013,Haryana,Tur,Kharif,3042.623333333333,4000.0
2014,Haryana,Tur,Kharif,3314.69,4350.0
2015,Haryana,Tur,Kharif,2933.3333333333335,4625.0
2016,Haryana,Tur,Kharif,3641.0366666666664,5050.0
2017,Haryana,Tur,Kharif,3969.206666666667,5450.0
2018,Haryana,Tur,Kharif,4311.6466666666665,5675.0
2019,Haryana,Tur,Kharif,5354.333333333333,5800.0
2020,Haryana,Tur,Kharif,5386.333333333333,6000.0
2021,Haryana,Tur,Kharif,5241.0,6000.0
2007,Maharashtra,Tur,Kharif,1393.0,1550.0
2008,Maharashtra,Tur,Kharif,1660.2966666666666,2683.0550000000003
2009,Maharashtra,Tur,Kharif,1927.5933333333332,3816.11
2010,Maharashtra,Tur,Kharif,2194.89,2800.0
2011,Maharashtra,Tur,Kharif,2974.45,3100.0
2012,Maharashtra,Tur,Kharif,3381.56,3850.0
