year,state,ALLSKY_SFC_PAR_TOT_Kharif,ALLSKY_SFC_SW_DWN_Kharif,GWETPROF_Kharif,GWETROOT_Kharif,GWETTOP_Kharif,PRECTOTCORR_Kharif,QV2M_Kharif,RH2M_Kharif,T2M_Kharif,T2M_MAX_Kharif,T2M_MIN_Kharif,T2M_RANGE_Kharif,WS10M_Kharif,ALLSKY_SFC_PAR_TOT_Rabi,ALLSKY_SFC_SW_DWN_Rabi,GWETPROF_Rabi,GWETROOT_Rabi,GWETTOP_Rabi,PRECTOTCORR_Rabi,QV2M_Rabi,RH2M_Rabi,T2M_Rabi,T2M_MAX_Rabi,T2M_MIN_Rabi,T2M_RANGE_Rabi,WS10M_Rabi
2007,Gujarat,1077.114,2256.723,0.7145114942528736,0.7306321839080461,0.7315555555555555,1019.2112222222224,19.477,79.09558333333334,28.796638888888893,35.02136111111111,24.37613888888889,5.990916666666667,4.964972222222222,1525.4306666666666,3429.8553333333334,0.5329118773946361,0.532183908045977,0.4094444444444444,11.159222222222224,8.715592592592591,47.76461111111112,23.9765925925926,34.22805555555555,14.71327777777778,13.082296296296295,3.390092592592593
2007,Haryana,1161.4462500000002,2498.17,0.4393571428571428,0.4453571428571429,0.4132142857142857,469.04971428571423,16.499000000000002,55.24285714285714,32.52142857142857,41.70057142857142,24.83992857142857,10.330714285714285,3.2842857142857147,1217.603125,2832.838125,0.3768571428571428,0.3768095238095238,0.2783333333333333,128.39142857142858,5.100714285714287,38.69538095238095,19.05580952380953,32.42852380952382,8.16342857142857,15.35542857142857,2.7270476190476187
2007,Maharashtra,966.0616666666666,2039.518958333333,0.7683579881656806,0.777810650887574,0.7815088757396449,1066.817396449704,18.122189349112425,80.8523372781065,26.6671449704142,33.76659763313609,21.94295857988166,6.974467455621301,4.504940828402367,1564.313125,3517.371875,0.6232051282051281,0.6181558185404339,0.4547435897435897,37.83828402366864,9.218145956607492,52.26222879684418,23.775749506903352,34.50773175542406,13.60000986193294,14.891370808678502,2.8878500986193294
2007,Punjab,1156.9450000000002,2509.3033333333333,0.4781428571428571,0.4870714285714286,0.4443571428571429,442.5411428571429,15.260714285714284,53.80021428571428,31.078785714285715,40.02757142857143,23.041071428571428,10.46342857142857,2.4990714285714284,1164.1733333333332,2697.56,0.4472380952380952,0.4521428571428571,0.3695238095238095,187.05657142857143,4.918428571428572,42.27028571428571,16.447904761904763,29.391476190476187,6.265285714285714,13.85104761904762,2.4821904761904765
2007,Uttar Pradesh,1019.2864583333331,2183.256875,0.601875,0.6131891025641025,0.6136538461538462,808.9803205128204,16.862692307692306,71.7330608974359,26.792916666666663,34.860464743589745,20.494358974358978,8.501939102564103,3.243060897435897,1260.7362500000002,2917.058958333333,0.4933760683760683,0.4954380341880341,0.4454487179487179,126.60429487179486,6.170715811965812,48.9710576923077,16.05637820512821,28.36241452991453,5.194807692307692,14.475405982905984,2.6097222222222225
2008,Gujarat,1008.187,2132.3340000000003,0.6273275862068965,0.6376436781609195,0.6422777777777777,690.0484444444444,18.466527777777777,76.44463888888889,28.5375,34.89844444444444,24.127555555555556,6.6425277777777785,5.34486111111111,1504.3866666666668,3407.8186666666666,0.5083908045977013,0.5059195402298852,0.3654814814814815,12.378,8.09814814814815,43.57296296296297,23.930203703703707,34.71018518518519,13.570777777777776,13.639592592592592,3.453018518518519
2008,Haryana,1108.1906250000002,2372.04875,0.5172142857142857,0.5297857142857143,0.540142857142857,669.3777142857143,17.946357142857142,67.01185714285714,30.184285714285718,38.93264285714286,23.543928571428573,9.162357142857145,2.777142857142857,1217.36125,2830.97625,0.3825238095238095,0.3827619047619048,0.2673333333333333,19.86857142857143,5.235238095238096,36.35566666666666,19.649809523809527,32.87295238095238,8.380809523809523,15.609666666666667,2.720285714285714
2008,Maharashtra,932.6677083333334,1982.2181250000003,0.7414644970414201,0.7498964497041422,0.7353402366863906,887.0243195266272,17.356168639053255,78.59328402366864,26.498698224852077,34.23131656804733,21.42414201183432,7.417352071005917,4.566449704142012,1532.5054166666669,3447.0258333333336,0.6146055226824457,0.6101775147928994,0.4506903353057199,129.84757396449703,9.40715976331361,51.448422090729785,23.853057199211047,34.166666666666664,12.730059171597633,14.711508875739645,2.787859960552268
2008,Punjab,1116.5408333333332,2402.831666666667,0.5965,0.6177857142857144,0.6179285714285714,820.8988571428572,17.139357142857143,67.73128571428572,28.539571428571428,36.46578571428571,21.874142857142857,9.08,2.2620714285714287,1165.9816666666668,2700.47,0.4466666666666667,0.4517142857142857,0.3624285714285714,56.03428571428572,5.061571428571429,39.96852380952381,17.132142857142856,29.73447619047619,6.418761904761905,14.198571428571428,2.506904761904762
2008,Uttar Pradesh,981.2539583333332,2086.090833333333,0.7370032051282052,0.7541025641025642,0.7632852564102565,1113.926217948718,17.98788461538462,81.06983974358974,25.154535256410256,32.33586538461539,19.69822115384616,7.13801282051282,2.870288461538461,1243.392916666667,2885.36875,0.5177670940170941,0.5200854700854701,0.4554166666666667,27.47628205128205,6.509358974358975,50.05681623931625,16.468728632478634,28.020929487179487,5.650662393162393,13.8913141025641,2.450555555555556
2009,Gujarat,1123.8283333333334,2388.776,0.6372126436781609,0.6470977011494252,0.6220555555555556,692.6085555555555,18.54763888888889,74.733,29.18430555555556,36.50813888888889,24.57230555555556,7.339055555555555,5.241694444444444,1502.6549999999995,3387.613333333333,0.4929885057471265,0.4899233716475095,0.3378703703703703,53.78777777777778,8.585833333333332,45.27085185185185,24.773,35.21248148148148,15.406611111111111,13.359833333333334,3.439296296296296
2009,Haryana,1209.38375,2632.844375,0.4117142857142857,0.4160714285714285,0.3731428571428571,406.7645714285714,14.573785714285712,48.32735714285714,33.05657142857143,42.59471428571429,24.348000000000003,11.460214285714285,3.109714285714285,1210.8312500000002,2804.094375,0.3766666666666666,0.3768571428571428,0.2855714285714285,62.15485714285714,5.407476190476191,38.371523809523815,19.63828571428571,31.96609523809524,8.623857142857142,15.095,2.5988095238095243
