year,state,crop,season,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
2022,Gujarat,Maize,Kharif,287920.0,548727.0,1.9058314809669352
2022,Gujarat,Maize,Rabi,105586.0,290123.0,2.747741177807664
2022,Gujarat,Moong,Kharif,79625.0,46639.0,0.5857331240188383
2022,Gujarat,Paddy,Kharif,867961.0,2166280.0,2.495826425380864
2022,Gujarat,Ragi,Kharif,10216.0,8299.0,0.8123531714956931
2022,Gujarat,Rapeseed & Mustard,Rabi,307032.0,603773.0,1.966482321060997
2022,Gujarat,Sesame,Kharif,71971.0,36586.0,0.5083436384099151
2022,Gujarat,Soybean,Kharif,221498.0,372535.0,1.6818887755194178
2022,Gujarat,Tur,Kharif,243771.0,283497.0,1.1629644215267607
2022,Gujarat,Urad,Kharif,96800.0,59131.0,0.6108574380165289
2022,Gujarat,Wheat,Rabi,1292842.0,4103948.0,3.1743616002574173
2022,Haryana,Bajra,Kharif,526260.0,1323360.0,2.5146505529586136
2022,Haryana,Barley,Rabi,12870.0,45990.0,3.5734265734265733
2022,Haryana,Cotton,Kharif,574610.0,170037.4149659864,0.2959179529872198
2022,Haryana,Gram,Rabi,28890.0,26320.0,0.9110418830044998
2022,Haryana,Jowar,Kharif,26840.0,14130.0,0.5264530551415797
2022,Haryana,Maize,Kharif,4810.0,16010.0,3.3284823284823286
2022,Haryana,Moong,Kharif,30510.0,15090.0,0.4945919370698132
2022,Haryana,Paddy,Kharif,1661280.0,5921470.0,3.5644021477415007
2022,Haryana,Rapeseed & Mustard,Rabi,831880.0,1414710.0,1.7006178775784968
2022,Haryana,Wheat,Rabi,2376610.0,11064250.0,4.655475656502329
2022,Maharashtra,Bajra,Kharif,491317.0,536259.0,1.0914725116370898
2022,Maharashtra,Cotton,Kharif,4240007.3,1461045.3996598637,0.34458558589270916
2022,Maharashtra,Gram,Rabi,2934822.0500000003,2974148.54,1.0133999572478338
2022,Maharashtra,Groundnut,Kharif,165455.03,205164.39,1.2400009235137788
2022,Maharashtra,Jowar,Kharif,150537.75,140583.16999999998,0.9338731979187944
2022,Maharashtra,Jowar,Rabi,1338211.39,1395349.7,1.0426975218018433
2022,Maharashtra,Maize,Kharif,838639.0,2613831.0,3.1167534541083826
2022,Maharashtra,Maize,Rabi,400261.97,1143826.46,2.857694574380874
2022,Maharashtra,Moong,Kharif,285964.2,178475.99000000002,0.6241200471947188
2022,Maharashtra,Paddy,Kharif,1522931.69,3496425.95,2.2958521205898608
2022,Maharashtra,Ragi,Kharif,77406.0,109505.0,1.4146836162571377
2022,Maharashtra,Safflower,Rabi,31278.54,23977.26,0.7665722249184265
2022,Maharashtra,Sesame,Kharif,6402.65,1641.02,0.2563032494357805
2022,Maharashtra,Sesame,Rabi,1544.32,517.37,0.3350147637795276
2022,Maharashtra,Soybean,Kharif,4892703.0,6679905.0,1.3652790696676254
2022,Maharashtra,Sunflower,Kharif,11798.0,4882.0,0.4137989489744024
2022,Maharashtra,Sunflower,Rabi,4441.49,3497.6400000000003,0.7874924856298225
2022,Maharashtra,Tur,Kharif,1191371.0,859114.0,0.7211137420669128
2022,Maharashtra,Urad,Kharif,367252.18,233422.13,0.6355908629323862
2022,Maharashtra,Wheat,Rabi,1203623.39,2301022.61,1.9117463395256884
2022,Punjab,Bajra,Kharif,600.0,400.0,0.6666666666666666
2022,Punjab,Barley,Rabi,5500.0,21100.0,3.836363636363637
2022,Punjab,Cotton,Kharif,248900.0,75476.19047619047,0.30323901356444544
2022,Punjab,Gram,Rabi,1700.0,1800.0,1.0588235294117647
2022,Punjab,Groundnut,Kharif,1700.0,2900.0,1.7058823529411764
2022,Punjab,Maize,Kharif,93300.0,409900.0,4.393354769560557
2022,Punjab,Masoor,Rabi,500.0,500.0,1.0
2022,Punjab,Moong,Kharif,3800.0,3000.0,0.7894736842105263
2022,Punjab,Paddy,Kharif,3167800.0,13751000.0,4.340867479007513
2022,Punjab,Rapeseed & Mustard,Rabi,43300.0,70500.0,1.628175519630485
2022,Punjab,Sesame,Kharif,2000.0,700.0,0.35
2022,Punjab,Sunflower,Rabi,1500.0,2900.0,1.933333333333333
2022,Punjab,Tur,Kharif,1200.0,1300.0,1.0833333333333333
2022,Punjab,Urad,Kharif,1300.0,600.0,0.4615384615384615
2022,Punjab,Wheat,Rabi,3517500.0,16567400.0,4.70999289267946
2022,Uttar Pradesh,Bajra,Kharif,947023.0,2045552.0,2.1599813309708424
2022,Uttar Pradesh,Barley,Rabi,192651.0,591040.0,3.067931129347888
2022,Uttar Pradesh,Cotton,Kharif,3218.0,209.01360544217687,0.06495140007525695
2022,Uttar Pradesh,Gram,Rabi,679679.0,917071.0,1.3492707586963846
2022,Uttar Pradesh,Groundnut,Kharif,98372.0,114903.0,1.1680457853860855
2022,Uttar Pradesh,Jowar,Kharif,198011.0,315351.0,1.5925933407739974
2022,Uttar Pradesh,Maize,Kharif,831763.0,1782307.0,2.1428063041996337
2022,Uttar Pradesh,Maize,Rabi,9769.0,27568.0,2.821987920974512
2022,Uttar Pradesh,Masoor,Rabi,543960.0,516679.0,0.9498474152511214
2022,Uttar Pradesh,Moong,Kharif,42322.0,15944.0,0.3767307783186049
2022,Uttar Pradesh,Paddy,Kharif,6147036.0,16450931.0,2.676237946223188
2022,Uttar Pradesh,Rapeseed & Mustard,Rabi,1274889.0,1908905.0,1.4973107462688908
2022,Uttar Pradesh,Sesame,Kharif,360770.0,84107.0,0.2331319122986944
2022,Uttar Pradesh,Soybean,Kharif,20989.0,11443.0,0.5451903377959884
2022,Uttar Pradesh,Tur,Kharif,349483.0,427858.0,1.2242598352423435
2022,Uttar Pradesh,Urad,Kharif,558155.0,280245.0,0.5020917128754557
2022,Uttar Pradesh,Wheat,Rabi,10193110.0,38070490.0,3.734923884859479
